Pharmacy Name,Type of Location,Address and Phone Number,Address,Phone Number
Pharmacy Unlimited,Pharmacy,12801 Wetmore Rd · (210) 536-0141,12801 Wetmore Rd , (210) 536-0141
South San Pharmacy,Pharmacy,919 SW Military Dr · (210) 922-1816,919 SW Military Dr , (210) 922-1816
Genoa Healthcare,Pharmacy,8535 Tom Slick #104 · (210) 610-9091,8535 Tom Slick #104 , (210) 610-9091
Stone Oak Pharmacy,Pharmacy,18866 Stone Oak Pkwy #101 · In Stoneterra · (210) 494-4272,18866 Stone Oak Pkwy #101 , In Stoneterra 
Broadway Pharmacy,Pharmacy,6100 Broadway · (210) 824-3322,6100 Broadway , (210) 824-3322
Walgreens Pharmacy,Pharmacy,2200 E Houston St · (210) 354-3993,2200 E Houston St , (210) 354-3993
15RX Pharmacy-4,Pharmacy,215 N San Saba Ste.103 · In South Texas Renal Care Group · (210) 684-1579 ext. 4,215 N San Saba Ste.103 , In South Texas Renal Care Group 
Carvajal Pharmacy,Pharmacy,3410 Roosevelt Ave · (210) 922-2176,3410 Roosevelt Ave , (210) 922-2176
CVS Pharmacy y más,Pharmacy,6539 De Zavala Rd · (210) 561-1325,6539 De Zavala Rd , (210) 561-1325
Glendale Pharmacy,Pharmacy,4203 Gardendale #223c · In Fairways Corporate Center · (210) 617-5507,4203 Gardendale #223c , In Fairways Corporate Center 
Advanced Pharmacy Services,Pharmacy,5423 Hamilton Wolfe · (210) 558-8054,5423 Hamilton Wolfe , (210) 558-8054
SYNERGY PHARMACY,Pharmacy,1314 E Sonterra Blvd STE 2102 · In Villages On Sonterra III · (210) 704-1551,1314 E Sonterra Blvd STE 2102 , In Villages On Sonterra III 
St Rose Pharmacy,Pharmacy,2829 Babcock Rd · (210) 692-7726,2829 Babcock Rd , (210) 692-7726
H-E-B Pharmacy,Pharmacy,"San Antonio, TX · (210) 408-8145","San Antonio, TX ", (210) 408-8145
CVS Pharmacy,Pharmacy,"San Antonio, TX · (210) 359-1429","San Antonio, TX ", (210) 359-1429
CF Pharmacy,Pharmacy,4203 Gardendale Ste 223c · In Fairways Corporate Center,4203 Gardendale Ste 223c , In Fairways Corporate Center
CVS Pharmacy y más,Pharmacy,4730 Fredericksburg Rd · (210) 348-8223,4730 Fredericksburg Rd , (210) 348-8223
Brooke Army Medical Center Pharmacy,Pharmacy,"78234, 3551 Roger Brooke Dr · In Brooke Army Medical Center · (210) 916-1536","78234, 3551 Roger Brooke Dr ", In Brooke Army Medical Center 
Champs Pharmacy,Pharmacy,7718 Louis Pasteur Dr · (210) 614-1212,7718 Louis Pasteur Dr , (210) 614-1212
Health Professional Pharmacy,Pharmacy,818 Brooklyn Ave,818 Brooklyn Ave,818 Brooklyn Ave
Shavano Oaks Pharmacy,Pharmacy,3603 Paesanos Pkwy Ste 102 · (210) 448-9080,3603 Paesanos Pkwy Ste 102 , (210) 448-9080
Walmart Pharmacy,Pharmacy,8538 Interstate 35 Access Rd · (210) 810-3686,8538 Interstate 35 Access Rd , (210) 810-3686
Dms Pharmacy,Pharmacy,305 E Euclid Ave · (210) 229-9336,305 E Euclid Ave , (210) 229-9336
Walgreens Pharmacy,Pharmacy,10411 West Ave · (210) 979-6575,10411 West Ave , (210) 979-6575
CVS Pharmacy,Pharmacy,1915 Broadway Suite 101 · (210) 806-8741,1915 Broadway Suite 101 , (210) 806-8741
Rx Square Pharmacy,Pharmacy,9018 Culebra Rd Suite 101 · (210) 781-4101,9018 Culebra Rd Suite 101 , (210) 781-4101
CHCS Pharmacy,Pharmacy,5372 Fredericksburg Rd · (210) 971-5803,5372 Fredericksburg Rd , (210) 971-5803
Pharmerica,Pharmacy,3019 Interstate Dr · (210) 227-5262,3019 Interstate Dr , (210) 227-5262
Oak Hills Specialt Pharmacy,Pharmacy,7711 Louis Pasteur Dr · (855) 200-7055,7711 Louis Pasteur Dr , (855) 200-7055
HAVE Medical Pharmacy,Pharmacy,818 Brooklyn Ave · (210) 433-5400,818 Brooklyn Ave , (210) 433-5400
D US PHARMACY,Pharmacy,2556 MacArthur View · In Macarthur · (888) 985-2138,2556 MacArthur View , In Macarthur 
Rite-Away Pharmacy & Medical Supply,Pharmacy,426 Castroville Rd · (210) 433-9991,426 Castroville Rd , (210) 433-9991
H-E-B Pharmacy,Pharmacy,1150 TX-1604 Loop · (210) 408-8145,1150 TX-1604 Loop , (210) 408-8145
Walmart Pharmacy,Pharmacy,1603 Vance Jackson Rd · (210) 737-0754,1603 Vance Jackson Rd , (210) 737-0754
Health Professionals Pharmacy,Pharmacy,102 Babcock Rd # C102,102 Babcock Rd # C102,102 Babcock Rd # C102
H-E-B plus!,Grocery store,"Schertz, TX · (210) 651-5105","Schertz, TX ", (210) 651-5105
Walgreens,Drug store,"San Antonio, TX · (210) 496-1313","San Antonio, TX ", (210) 496-1313
Health Professionals Pharmacy,Pharmacy,102 Babcock Rd # C102,102 Babcock Rd # C102,102 Babcock Rd # C102
Economical Pharmacy Services,Pharmacy,4030 Culebra Rd,4030 Culebra Rd,4030 Culebra Rd
CVS Pharmacy,Pharmacy,9050 FM1560 · (210) 688-9160,9050 FM1560 , (210) 688-9160
Farmacia Associates Of San Antonio Inc.,Pharmacy,919 SW Military Dr Ste 105 · (210) 922-1816,919 SW Military Dr Ste 105 , (210) 922-1816
CVS Pharmacy y más,Pharmacy,7603 Culebra Rd · (210) 680-0299,7603 Culebra Rd , (210) 680-0299
Advanced Pharmacy,Pharmacy,3935 Medical Dr · (210) 615-6884,3935 Medical Dr , (210) 615-6884
Medfusion Pharmacy,Pharmacy,8812 Broadway ste a · (210) 263-9076,8812 Broadway ste a , (210) 263-9076
Fort Sam Houston Community Pharmacy,Pharmacy,2401 Winfield Scott Rd · In Fort Sam Houston Exchange · (210) 295-9371,2401 Winfield Scott Rd , In Fort Sam Houston Exchange 
Alamo City Pharmacy,Pharmacy,3338 Oakwell Ct #106 · In OakWell Medical Office Bldg · (210) 598-2688,3338 Oakwell Ct #106 , In OakWell Medical Office Bldg 
Drug Store,Pharmacy,West Ave · In H-E-B,West Ave , In H-E-B
Pioneer Pharmacy,Pharmacy,4505 De Zavala Rd,4505 De Zavala Rd,4505 De Zavala Rd
Rx PLUS PHARMACY,Pharmacy,4615 W Commerce St · (210) 646-0207,4615 W Commerce St , (210) 646-0207
Texas Best Pharmacy,Pharmacy,1919 Rogers Rd Suite 103 · (210) 314-8018,1919 Rogers Rd Suite 103 , (210) 314-8018
H-E-B Pharmacy,Pharmacy,8300 Floyd Curl Dr Ste 105 · (210) 593-0291,8300 Floyd Curl Dr Ste 105 , (210) 593-0291
Walgreens Pharmacy,Pharmacy,25215 I-10 · (210) 698-2540,25215 I-10 , (210) 698-2540
The Mix Pharmacy Compounding & CBD,Pharmacy,14369 Blanco Rd · In Cadillac Plaza · (210) 226-1112,14369 Blanco Rd , In Cadillac Plaza 
Shavano Oaks Pharmacy @ Westover Hills,Pharmacy,3903 Wiseman Blvd #313 · In Westover Hills Baptist Medical Bldg · (210) 441-4501,3903 Wiseman Blvd #313 , In Westover Hills Baptist Medical Bldg 
CVS Pharmacy,Pharmacy,919 Wurzbach Pkwy · (210) 764-1095,919 Wurzbach Pkwy , (210) 764-1095
Hill's Drug Store,Pharmacy,705 Kirk Pl · (210) 225-7283,705 Kirk Pl , (210) 225-7283
Q Pharmacy,Pharmacy,7622 Louis Pasteur Dr · In WellMed at Medical Center · (210) 491-8137,7622 Louis Pasteur Dr , In WellMed at Medical Center 
H-E-B plus!,SponsoredGrocery store,"Lytle, TX · (830) 772-5021","Lytle, TX ", (830) 772-5021
Walgreens,Drug store,"San Antonio, TX · (210) 424-3617","San Antonio, TX ", (210) 424-3617
Westover Hills Pharmacy,Pharmacy,9793 Culebra Rd #101 · (210) 684-1800,9793 Culebra Rd #101 , (210) 684-1800
Health Talk,Pharmacy,7550 I-10 · In Lincoln Center · (210) 377-2647,7550 I-10 , In Lincoln Center 
Heb Pharmacy 427,Pharmacy,735 SE Military Dr · (512) 324-4930,735 SE Military Dr , (512) 324-4930
MedTerm,Pharmacy,410 San Pedro Ave · (210) 220-3926,410 San Pedro Ave , (210) 220-3926
Oak Hills Medical Building Pharmacy Inc,Pharmacy,7711 Louis Pasteur Dr · (855) 277-8798,7711 Louis Pasteur Dr , (855) 277-8798
Q Pharmacy,Pharmacy,8303 Military Dr W # B · In WellMed at Westlakes · (210) 491-8168,8303 Military Dr W # B , In WellMed at Westlakes 
CVS Pharmacy,Pharmacy,5301 Alamo Ranch Pkwy · (210) 688-9311,5301 Alamo Ranch Pkwy , (210) 688-9311
Gulf Coast Pharmacy,Pharmacy,4115 Medical Dr · In The Park On Medical · (210) 616-0135,4115 Medical Dr , In The Park On Medical 
"Michael D. Hamilton, DPH",Pharmacy,3019 Interstate Dr · (800) 274-4590,3019 Interstate Dr , (800) 274-4590
Pharmacy,Pharmacy,5355 W Loop 1604 N · In Alamo Ranch,5355 W Loop 1604 N , In Alamo Ranch
Drive-Thru Pharmacy,Pharmacy,"San Antonio, TX · (210) 404-9006","San Antonio, TX ", (210) 404-9006
Lifecare Garza Pharmacy,Pharmacy,311 Camden St # 103 · In Madison Medical Building · (210) 225-4561,311 Camden St # 103 , In Madison Medical Building 
PrimeCare Pharmacy & Medical Supply,Pharmacy,14032 Nacogdoches Rd · (210) 530-4269,14032 Nacogdoches Rd , (210) 530-4269
CVS Pharmacy,Pharmacy,3027 Nacogdoches Rd · (210) 824-5928,3027 Nacogdoches Rd , (210) 824-5928
CVS Pharmacy y más,Pharmacy,9140 Guilbeau Rd · (210) 520-5183,9140 Guilbeau Rd , (210) 520-5183
H-E-B Pharmacy,Pharmacy,6818 S Zarzamora St · (210) 927-4596,6818 S Zarzamora St , (210) 927-4596
CVS Pharmacy,Pharmacy,3227 SE Military Dr · In Target · (210) 247-0083,3227 SE Military Dr , In Target 
ASP Cares,Pharmacy,8627 Cinnamon Creek Dr building 100 ste b · (210) 598-2678,8627 Cinnamon Creek Dr building 100 ste b , (210) 598-2678
Rite Away Pharmacy & Med Supplies,Pharmacy,2235 Thousand Oaks Dr #102 · In Parkwood Place · (210) 490-2733,2235 Thousand Oaks Dr #102 , In Parkwood Place 
Rite-Away Pharmacy & Medical Supply # 2,Pharmacy,2716 SW Military Dr #102 · In Alison's Corner Shopping Center · (210) 927-3742,2716 SW Military Dr #102 , In Alison's Corner Shopping Center 
H-E-B plus!,SponsoredGrocery store,"Schertz, TX · (210) 651-5105","Schertz, TX ", (210) 651-5105
Walgreens,Drug store,"San Antonio, TX · (210) 821-6992","San Antonio, TX ", (210) 821-6992
MedPlus Pharmacy,Pharmacy,7220 Louis Pasteur Dr Ste 152 · (210) 868-6440,7220 Louis Pasteur Dr Ste 152 , (210) 868-6440
H-E-B Pharmacy,Pharmacy,10660 FM471 · (210) 684-1234,10660 FM471 , (210) 684-1234
CVS Pharmacy,Pharmacy,13343 Culebra Rd · (210) 507-5641,13343 Culebra Rd , (210) 507-5641
MLDP of Texas LP,Pharmacy,6601 Blanco Rd · (210) 434-2477,6601 Blanco Rd , (210) 434-2477
Walgreens Pharmacy,Pharmacy,26482 US-281 · (830) 438-7866,26482 US-281 , (830) 438-7866
Q Pharmacy,Pharmacy,7333 Barlite Blvd · (210) 491-8160,7333 Barlite Blvd , (210) 491-8160
Cvs Caremark,Pharmacy,6950 Alamo Downs Pkwy #110 · (210) 706-2200,6950 Alamo Downs Pkwy #110 , (210) 706-2200
Integrated Pharmacy,Pharmacy,1919 Oakwell Farms Pkwy · In Oakwell Farms Parkway · (210) 824-5144,1919 Oakwell Farms Pkwy , In Oakwell Farms Parkway 
H-E-B Pharmacy,Pharmacy,300 W Olmos Dr · (210) 829-1705,300 W Olmos Dr , (210) 829-1705
Costco Pharmacy,Pharmacy,1201 N Loop 1604 E · (210) 403-4703,1201 N Loop 1604 E , (210) 403-4703
CVS,Drug store,4805 Medical Dr · (210) 616-0482,4805 Medical Dr , (210) 616-0482
Physicians Plaza Pharmacy,Pharmacy,8042 Wurzbach Rd # 130 · (210) 614-5491,8042 Wurzbach Rd # 130 , (210) 614-5491
H-E-B Pharmacy,Pharmacy,415 N New Braunfels Ave · (210) 226-8642,415 N New Braunfels Ave , (210) 226-8642
CVS,Drug store,6470 N New Braunfels Ave · In Sunset Ridge Shopping Center · (210) 826-2391,6470 N New Braunfels Ave , In Sunset Ridge Shopping Center 
"Mark C. Granberry, PharmD",Pharmacy,"4301 Broadway Street, San Antonio, TX 78209 · (210) 805-3025","4301 Broadway Street, San Antonio, TX 78209 ", (210) 805-3025
The Care Clinic Pharmacy,Pharmacy,818 E Grayson St Suite B · (800) 687-5875,818 E Grayson St Suite B , (800) 687-5875
Rx Drive Thru Pharmacy,Pharmacy,5910 Babcock Rd,5910 Babcock Rd,5910 Babcock Rd
CVS,Drug store,1915 Broadway Suite 101 · (210) 806-8741,1915 Broadway Suite 101 , (210) 806-8741
Sam's Club Pharmacy,Pharmacy,12349 I-35 · (210) 599-1505,12349 I-35 , (210) 599-1505
H-E-B Pharmacy,Pharmacy,20935 U.S. Hwy 281 N · (210) 491-2450,20935 U.S. Hwy 281 N , (210) 491-2450
Walgreens,Drug store,"San Antonio, TX · (210) 732-1621","San Antonio, TX ", (210) 732-1621
H-E-B plus!,Grocery store,"San Antonio, TX · (210) 681-2250","San Antonio, TX ", (210) 681-2250
Walgreens,Drug store,12352 FM1957 · (210) 679-0130,12352 FM1957 , (210) 679-0130
Walgreens,Drug store,25215 I-10 · (210) 698-2540,25215 I-10 , (210) 698-2540
CVS,Drug store,22135 I-10 · (210) 698-1643,22135 I-10 , (210) 698-1643
"Maria T. Gutierrez, RPH",Pharmacy,7400 Merton Minter · (210) 617-5300,7400 Merton Minter , (210) 617-5300
"Mario's Pharmacy, Inc",Pharmacy,2515 Broadway · (325) 236-6883,2515 Broadway , (325) 236-6883
CVS,Pharmacy,7034 Alamo Downs Pkwy · (210) 706-2222,7034 Alamo Downs Pkwy , (210) 706-2222
CVS,Drug store,300 E Commerce St · (210) 228-9483,300 E Commerce St , (210) 228-9483
Walgreens,Drug store,7802 Wurzbach Rd · (210) 614-3590,7802 Wurzbach Rd , (210) 614-3590
CVS,Drug store,16580 Huebner Rd · (210) 479-8173,16580 Huebner Rd , (210) 479-8173
CVS,Drug store,2018 Culebra Rd · (210) 785-9764,2018 Culebra Rd , (210) 785-9764
CVS,Drug store,4730 Fredericksburg Rd · (210) 348-8223,4730 Fredericksburg Rd , (210) 348-8223
CVS,Drug store,7208 Farm-To-Market Rd 78 · (210) 666-0162,7208 Farm-To-Market Rd 78 , (210) 666-0162
CVS,Drug store,9686 Marbach Rd · (210) 645-6933,9686 Marbach Rd , (210) 645-6933
Walgreens Pharmacy,Pharmacy,14505 NW Military Hwy · (210) 408-1019,14505 NW Military Hwy , (210) 408-1019
Walgreens,Drug store,2425 Thousand Oaks Dr · (210) 402-2927,2425 Thousand Oaks Dr , (210) 402-2927
Hofmann Prudence O,Pharmacy,7400 Merton Minter · (210) 617-5300,7400 Merton Minter , (210) 617-5300
RX Systems,Pharmacy,"San Antonio, TX · In Grandview Shopping Center","San Antonio, TX ", In Grandview Shopping Center
CVS,Drug store,23530 Wilderness Oak · (210) 481-7642,23530 Wilderness Oak , (210) 481-7642
CVS,Drug store,8602 Huebner Rd · (210) 691-0174,8602 Huebner Rd , (210) 691-0174
CVS,Drug store,211 Losoya St · Near the Alamo Mission in San Antonio · (210) 224-9293,211 Losoya St , Near the Alamo Mission in San Antonio 
H-E-B Pharmacy,Pharmacy,"San Antonio, TX · (210) 681-2301","San Antonio, TX ", (210) 681-2301
Walgreens,Drug store,"Schertz, TX · (210) 566-3245","Schertz, TX ", (210) 566-3245
CVS,Drug store,120 E Sonterra Blvd · In Stoneterra · (210) 404-9006,120 E Sonterra Blvd , In Stoneterra 
CVS,Drug store,7603 Culebra Rd · (210) 680-0299,7603 Culebra Rd , (210) 680-0299
CVS,Drug store,13343 Culebra Rd · (210) 507-5641,13343 Culebra Rd , (210) 507-5641
CVS,Drug store,3027 Nacogdoches Rd · (210) 824-5928,3027 Nacogdoches Rd , (210) 824-5928
Walgreens,Drug store,3030 Goliad Rd · (210) 359-6949,3030 Goliad Rd , (210) 359-6949
CVS,Drug store,19202 Blanco Rd · (210) 497-2845,19202 Blanco Rd , (210) 497-2845
CVS,Drug store,5301 Alamo Ranch Pkwy · (210) 688-9311,5301 Alamo Ranch Pkwy , (210) 688-9311
Walgreens,Drug store,3326 Fredericksburg Rd · (210) 732-1621,3326 Fredericksburg Rd , (210) 732-1621
CVS,Drug store,14900 Jones Maltsberger Rd · (210) 496-9545,14900 Jones Maltsberger Rd , (210) 496-9545
Mission Pharmacal,Medical supply store,1325 E César E. Chávez Blvd · (830) 249-9822,1325 E César E. Chávez Blvd , (830) 249-9822
CVS,Drug store,9838 Potranco Rd · (210) 509-0319,9838 Potranco Rd , (210) 509-0319
CVS,Drug store,15038 Nacogdoches Rd · (210) 646-7045,15038 Nacogdoches Rd , (210) 646-7045
Walgreens,Drug store,7655 Tezel Rd · In Northwest Crossing Shopping Center · (210) 543-9151,7655 Tezel Rd , In Northwest Crossing Shopping Center 
Walgreens,Drug store,6901 San Pedro Ave · (210) 349-9809,6901 San Pedro Ave , (210) 349-9809
Walgreens,Drug store,300 E Houston St · (210) 424-3462,300 E Houston St , (210) 424-3462
CVS,Drug store,10225 Wurzbach Rd · (210) 690-1616,10225 Wurzbach Rd , (210) 690-1616
Lackland AFB Clinic Pharmacy,Pharmacy,"Lackland AFB, TX · (210) 292-7970","Lackland AFB, TX ", (210) 292-7970
Lackland AFB Satellite Pharmacy,Pharmacy,"Lackland AFB, TX · In Lackland Main Exchange · (210) 292-7970","Lackland AFB, TX ", In Lackland Main Exchange 
CVS,Drug store,103 SW Military Dr · (210) 927-6755,103 SW Military Dr , (210) 927-6755
Walgreens,Drug store,4703 W Commerce St · In Crosstowne Mercado · (210) 434-5566,4703 W Commerce St , In Crosstowne Mercado 
H-E-B plus!,Grocery store,"San Antonio, TX · (210) 673-4900","San Antonio, TX ", (210) 673-4900
Walgreens,Drug store,"San Antonio, TX · (210) 679-5267","San Antonio, TX ", (210) 679-5267
Walgreens,Drug store,3401 San Pedro Ave · (210) 738-2414,3401 San Pedro Ave , (210) 738-2414
CVS,Drug store,919 Wurzbach Pkwy · (210) 764-1095,919 Wurzbach Pkwy , (210) 764-1095
CVS,Drug store,17307 Bulverde Rd · (210) 404-9054,17307 Bulverde Rd , (210) 404-9054
Walgreens,Drug store,13619 Babcock Rd · (210) 424-3617,13619 Babcock Rd , (210) 424-3617
Walgreens,Drug store,7019 S Zarzamora St · (210) 932-0138,7019 S Zarzamora St , (210) 932-0138
CVS,Drug store,9050 FM1560 · (210) 688-9160,9050 FM1560 , (210) 688-9160
CVS,Drug store,4100 De Zavala Rd · (210) 492-9741,4100 De Zavala Rd , (210) 492-9741
Walgreens,Drug store,138 SW Military Dr · (210) 924-6582,138 SW Military Dr , (210) 924-6582
CVS,Drug store,6539 De Zavala Rd · (210) 561-1325,6539 De Zavala Rd , (210) 561-1325
Walgreens,Drug store,11103 Military Dr W · (210) 679-5267,11103 Military Dr W , (210) 679-5267
Walgreens,Drug store,6393 Babcock Rd · (210) 690-9025,6393 Babcock Rd , (210) 690-9025
Walgreens,Drug store,6635 Bandera Rd · (210) 681-8540,6635 Bandera Rd , (210) 681-8540
Walgreens,Drug store,2200 E Houston St · (210) 354-3993,2200 E Houston St , (210) 354-3993
CVS,Drug store,3502 SE Military Dr · (210) 359-0139,3502 SE Military Dr , (210) 359-0139
CVS,Drug store,2920 E Southcross · (210) 532-3923,2920 E Southcross , (210) 532-3923
Walgreens,Drug store,410 W Cypress St · (210) 225-4809,410 W Cypress St , (210) 225-4809
Walgreens,Drug store,19203 Stone Oak Pkwy · (210) 403-0002,19203 Stone Oak Pkwy , (210) 403-0002
"Wayne C. Cheatum, R",Pharmacy,"Lackland AFB, TX","Lackland AFB, TX","Lackland AFB, TX"
Walgreens,Drug store,22114 Bulverde Rd · (210) 481-2517,22114 Bulverde Rd , (210) 481-2517
Walgreens,Drug store,10718 Bandera Rd · (210) 682-1181,10718 Bandera Rd , (210) 682-1181
CVS Pharmacy,Pharmacy,"San Antonio, TX · (210) 202-3579","San Antonio, TX ", (210) 202-3579
H-E-B plus!,Grocery store,"San Antonio, TX · (210) 408-1641","San Antonio, TX ", (210) 408-1641
CVS,Drug store,2801 Nogalitos St · (210) 921-2090,2801 Nogalitos St , (210) 921-2090
Walgreens,Drug store,1560 Bandera Rd · (210) 432-7334,1560 Bandera Rd , (210) 432-7334
Walgreens,Drug store,10718 Bandera Rd · (210) 682-1181,10718 Bandera Rd , (210) 682-1181
Walgreens,Drug store,1902 N Loop 1604 W · (210) 492-5095,1902 N Loop 1604 W , (210) 492-5095
Walgreens,Drug store,3065 Rigsby Ave · (210) 337-4282,3065 Rigsby Ave , (210) 337-4282
Walgreens,Drug store,20800 US-281 · (210) 497-5473,20800 US-281 , (210) 497-5473
Walgreens,Drug store,22114 Bulverde Rd · (210) 481-2517,22114 Bulverde Rd , (210) 481-2517
CVS,Drug store,1118 S WW White Rd · (210) 359-1429,1118 S WW White Rd , (210) 359-1429
CVS,Drug store,9140 Guilbeau Rd · (210) 520-5183,9140 Guilbeau Rd , (210) 520-5183
Walgreens,Drug store,7103 Marbach Rd · (210) 675-6612,7103 Marbach Rd , (210) 675-6612
CVS,Drug store,12835 Potranco Rd · (210) 679-0250,12835 Potranco Rd , (210) 679-0250
CVS,Drug store,22202 Bulverde Rd · In The Shops At Fossil Creek · (210) 497-0353,22202 Bulverde Rd , In The Shops At Fossil Creek 
Walgreens,Drug store,9903 Potranco Rd · (210) 682-7431,9903 Potranco Rd , (210) 682-7431
CVS,Drug store,9285 Culebra Rd · (210) 521-5335,9285 Culebra Rd , (210) 521-5335
Walgreens,Drug store,6017 Ingram Rd · (210) 680-2962,6017 Ingram Rd , (210) 680-2962
CVS,Drug store,8731 Poteet Jourdanton Fwy Acc Rd · (210) 927-8200,8731 Poteet Jourdanton Fwy Acc Rd , (210) 927-8200
Mission Pharmacal Co,Pharmaceutical company,10999 I-10 · In City view · (210) 696-8400,10999 I-10 , In City view 
Walgreens,Drug store,9080 Marbach Rd · (210) 673-3082,9080 Marbach Rd , (210) 673-3082
Walgreens,Drug store,502 New Valley Hi Dr · (210) 673-0817,502 New Valley Hi Dr , (210) 673-0817
CVS,Drug store,5975 Old Pearsall Rd · (210) 623-6645,5975 Old Pearsall Rd , (210) 623-6645
CVS,Drug store,"San Antonio, TX · (210) 679-0250","San Antonio, TX ", (210) 679-0250
H-E-B Pharmacy,Pharmacy,"San Antonio, TX · (210) 491-9976","San Antonio, TX ", (210) 491-9976
Walgreens,Drug store,2710 Nogalitos St · (210) 533-7773,2710 Nogalitos St , (210) 533-7773
Coram Healthcare,Medical supply store,10118 Huebner Rd · (210) 523-0125,10118 Huebner Rd , (210) 523-0125
Walgreens,Drug store,901 Bitters Rd · (210) 496-1313,901 Bitters Rd , (210) 496-1313
Walgreens,Drug store,8202 Culebra Rd · (210) 543-8419,8202 Culebra Rd , (210) 543-8419
Walgreens,Drug store,10003 W Loop 1604 N · (210) 688-0405,10003 W Loop 1604 N , (210) 688-0405
Walgreens,Drug store,1581 Austin Hwy · (210) 930-3302,1581 Austin Hwy , (210) 930-3302
Omnicare - San Antonio,Software company,12460 Network Blvd · In Network Tech · (361) 299-1058,12460 Network Blvd , In Network Tech 
Walmart Pharmacy,Pharmacy,"Universal City, TX · (210) 536-8546","Universal City, TX ", (210) 536-8546
CentroMed South Park Medical,Pharmacy,6315 S Zarzamora St · (210) 922-7000,6315 S Zarzamora St , (210) 922-7000
DRUG Enforcement Administration,Pharmacy,10127 Morocco St #200 · (210) 442-5600,10127 Morocco St #200 , (210) 442-5600
